complete_address,city,price_total,price,rent,sqm,is_furnished,coords
"ul. Armii Krajowej, Chorzów Batory, Chorzów, śląskie","Chorzów, śląskie",2370.0,1800.0,570.0,37,True,"(50.288556299999996, 18.97044253093511)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",2800.0,2300.0,500.0,30,True,"(50.2598987, 19.0215852)"
"ul. Bytkowska, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",3300.0,2800.0,500.0,39,True,"(50.2598987, 19.0215852)"
"ul. Józefowska, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",2151.0,2150.0,1.0,51,True,"(50.2598987, 19.0215852)"
"ul. Juliana Fałata, Śródmieście, Bytom, śląskie","Bytom, śląskie",1800.0,1600.0,200.0,44,True,"(50.3470387, 18.9231857)"
"ul. Kłodnicka, Ligota-Panewniki, Katowice, śląskie","Katowice, śląskie",1850.0,1500.0,350.0,52,False,"(50.2598987, 19.0215852)"
"Osiedle Francuska Park, Koszutka, Katowice, śląskie","Katowice, śląskie",3800.0,3400.0,400.0,65,True,"(50.2598987, 19.0215852)"
"ul. gen. Józefa Bema, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2200.0,1600.0,600.0,55,True,"(50.271229500000004, 19.215561953947084)"
"Zawodzie, Poczesna, częstochowski, śląskie","częstochowski, śląskie",1500.0,1500.0,,46,False,"(50.7166519, 19.1720012)"
"Śródmieście, Bytom, śląskie","Bytom, śląskie",843.0,842.0,1.0,40,False,"(50.35454355, 18.906154962392353)"
"Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",1650.0,1650.0,,38,False,"(50.2820814, 19.1416344)"
"ul. Warszawska, Śródmieście, Katowice, śląskie","Katowice, śląskie",2500.0,2500.0,,57,False,"(50.2598987, 19.0215852)"
"Śródmieście, Bytom, śląskie","Bytom, śląskie",2190.0,1800.0,390.0,37,True,"(50.35454355, 18.906154962392353)"
"ul. Miła, Chorzów II, Chorzów, śląskie","Chorzów, śląskie",2350.0,1600.0,750.0,41,False,"(50.288556299999996, 18.97044253093511)"
"ul. Ignacego Chrzanowskiego, Śródmieście, Bytom, śląskie","Bytom, śląskie",1460.0,1300.0,160.0,27,True,"(50.3470387, 18.9231857)"
"ul. Gwarecka, Śródmieście, Bytom, śląskie","Bytom, śląskie",1565.0,1400.0,165.0,49,False,"(50.3470387, 18.9231857)"
"Jaworzno, śląskie","Jaworzno, śląskie",3000.0,3000.0,,63,False,"(50.203439, 19.2721559)"
"ul. Wiązowa, Bogucice, Katowice, śląskie","Katowice, śląskie",2700.0,2700.0,,62,False,"(50.2598987, 19.0215852)"
"ul. Sielecka, Będzin, będziński, śląskie","będziński, śląskie",1950.0,1550.0,400.0,25,True,"(50.415351900000005, 19.113039906701346)"
"Szurmana, Ligota-Panewniki, Katowice, śląskie","Katowice, śląskie",4500.0,4500.0,,80,True,"(50.2311135, 18.9671237)"
"ul. Wojciecha Korfantego, Rozbark, Bytom, śląskie","Bytom, śląskie",950.0,950.0,,41,True,"(50.3470387, 18.9231857)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",10901.0,10900.0,1.0,117,True,"(50.259795, 19.0217063)"
"Dąb, Katowice, śląskie","Katowice, śląskie",3901.0,3900.0,1.0,67,True,"(50.271163, 18.9990507)"
"ul. Stanisława Wyspiańskiego, Aleje, Reden, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2075.0,1650.0,425.0,35,True,"(50.369624, 19.289046489684473)"
"ul. Gliwicka 105a, Osiedle Witosa, Katowice, śląskie","Katowice, śląskie",1550.0,1550.0,,25,True,"(50.2598987, 19.0215852)"
"ul. Tysiąclecia, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2675.0,2100.0,575.0,38,True,"(50.2598987, 19.0215852)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",1800.0,1800.0,,30,True,"(50.259795, 19.0217063)"
"Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2800.0,2200.0,600.0,56,True,"(50.2352141, 19.0150518)"
"Szwana, Osiedle Witosa, Katowice, śląskie","Katowice, śląskie",1997.0,1600.0,397.0,30,True,"(50.2637289, 18.972252)"
"osiedle Dziekana, Czeladź, będziński, śląskie","będziński, śląskie",1950.0,1300.0,650.0,50,True,"(50.3016385, 19.103211)"
"Świętochłowice, śląskie","Świętochłowice, śląskie",2400.0,1900.0,500.0,55,True,"(50.2854551, 18.9308513)"
"Tarnowskie Góry, tarnogórski, śląskie","tarnogórski, śląskie",2480.0,2300.0,180.0,48,False,"(50.4654128, 18.833588437116568)"
"ul. Żwirki i Wigury, Śródmieście, Katowice, śląskie","Katowice, śląskie",2000.0,2000.0,,35,True,"(50.2598987, 19.0215852)"
"Tarnowskie Góry, tarnogórski, śląskie","tarnogórski, śląskie",2490.0,2490.0,,110,True,"(50.4654128, 18.833588437116568)"
"ul. Graniczna, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2500.0,2400.0,100.0,43,True,"(50.2598987, 19.0215852)"
"ul. Wrocławska, Śródmieście, Bytom, śląskie","Bytom, śląskie",1500.0,1500.0,,35,True,"(50.3470387, 18.9231857)"
"ul. Łęknice 58, Łęknice, Zielona Pogoria, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2101.0,2100.0,1.0,32,False,"(50.369624, 19.289046489684473)"
"ul. Chorzowska 26, Rozbark, Bytom, śląskie","Bytom, śląskie",1600.0,900.0,700.0,50,True,"(50.3470387, 18.9231857)"
"Michałkowice, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",2700.0,2200.0,500.0,73,True,"(50.324233, 19.004559)"
"Centrum, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",1800.0,1800.0,,28,True,"(50.2951929, 19.035367665389575)"
"ul. Dworcowa, Śródmieście, Bytom, śląskie","Bytom, śląskie",1850.0,1850.0,,62,False,"(50.3470387, 18.9231857)"
"ul. gen. Kazimierza Pułaskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",7300.0,6500.0,800.0,71,True,"(50.2598987, 19.0215852)"
"ul. Gabriela Narutowicza, Stroszek - Dąbrowa Miejska, Bytom, śląskie","Bytom, śląskie",1500.0,1500.0,,43,False,"(50.3470387, 18.9231857)"
"Mysłowice, śląskie","Mysłowice, śląskie",3330.0,2900.0,430.0,65,True,"(50.2096211, 19.132165997410812)"
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",1700.0,1700.0,,32,True,"(50.283912, 19.1126792)"
"ul. Chorzowska, Łagiewniki, Bytom, śląskie","Bytom, śląskie",1401.0,1400.0,1.0,51,True,"(50.3470387, 18.9231857)"
"ul. Zwycięstwa, Czeladź, będziński, śląskie","będziński, śląskie",2500.0,1800.0,700.0,48,True,"(50.415351900000005, 19.113039906701346)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",2310.0,1900.0,410.0,30,True,"(50.2598987, 19.0215852)"
"Jaworzno, śląskie","Jaworzno, śląskie",2800.0,2800.0,,42,True,"(50.203439, 19.2721559)"
"Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2100.0,1500.0,600.0,36,True,"(50.2729677, 19.1292341)"
"ul. Tysiąclecia, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",3020.0,2500.0,520.0,48,True,"(50.2598987, 19.0215852)"
"ul. Wojewódzka, Śródmieście, Katowice, śląskie","Katowice, śląskie",2301.0,2300.0,1.0,74,True,"(50.2598987, 19.0215852)"
"ul. Piastowska, Będzin, będziński, śląskie","będziński, śląskie",2900.0,2900.0,,46,True,"(50.415351900000005, 19.113039906701346)"
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2300.0,2100.0,200.0,42,True,"(50.283912, 19.1126792)"
"ul. Plebiscytowa, Śródmieście, Katowice, śląskie","Katowice, śląskie",3700.0,3700.0,,115,True,"(50.2598987, 19.0215852)"
"al. Walentego Roździeńskiego, Dąbrówka Mała, Katowice, śląskie","Katowice, śląskie",2970.0,2250.0,720.0,61,True,"(50.2763284, 19.0752443)"
"ul. Parkowa, Brynów-Osiedle Zgrzebnioka, Katowice, śląskie","Katowice, śląskie",4500.0,4500.0,,95,True,"(50.2598987, 19.0215852)"
"ul. gen. Józefa Sowińskiego 15, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2499.0,2499.0,,51,True,"(50.2598987, 19.0215852)"
"aleja Józefa Piłsudskiego, Kasprzak, Gołonóg Południowy, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",3280.0,2500.0,780.0,82,True,"(50.3347157, 19.2262649)"
"ul. Wita Stwosza, Śródmieście, Katowice, śląskie","Katowice, śląskie",2134.0,1850.0,284.0,55,False,"(50.2598987, 19.0215852)"
"ul. Bolesława Chrobrego, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",3548.0,2950.0,598.0,59,True,"(50.2598987, 19.0215852)"
"Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",3450.0,2800.0,650.0,47,True,"(50.2835227, 19.0167987)"
"ul. Edwarda Bulgi, Jaworzno, śląskie","Jaworzno, śląskie",1960.0,1400.0,560.0,35,False,"(50.203439, 19.2721559)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2800.0,2200.0,600.0,30,True,"(50.259795, 19.0217063)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",1250.0,1250.0,,38,False,"(50.259795, 19.0217063)"
"Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",1830.0,1400.0,430.0,42,False,"(50.2932332, 19.1281052)"
"Kasprzak, Gołonóg Południowy, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",3330.0,2500.0,830.0,48,True,"(50.3305391, 19.2326443)"
"Załęska Hałda-Brynów, Katowice, śląskie","Katowice, śląskie",3000.0,2600.0,400.0,48,True,"(50.2528384, 18.978335)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",3100.0,2400.0,700.0,45,True,"(50.2598987, 19.0215852)"
"Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2010.0,1750.0,260.0,32,False,"(50.2729677, 19.1292341)"
"ul. Matki Teresy Kierocińskiej, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2550.0,1700.0,850.0,48,True,"(50.271229500000004, 19.215561953947084)"
"Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",2200.0,2200.0,,49,True,"(50.2820814, 19.1416344)"
"ul. 3 Maja, Śródmieście, Śródmieście, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2780.0,2400.0,380.0,39,True,"(50.369624, 19.289046489684473)"
"ul. Tysiąclecia, Podlesie, Gołonóg Południowy, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1620.0,1450.0,170.0,32,True,"(50.369624, 19.289046489684473)"
"ul. Słoneczna 20, Koszutka, Katowice, śląskie","Katowice, śląskie",3650.0,3000.0,650.0,54,True,"(50.2598987, 19.0215852)"
"ul. Podchorążych, Śródmieście, Katowice, śląskie","Katowice, śląskie",1780.0,1300.0,480.0,23,True,"(50.2598987, 19.0215852)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",2800.0,2300.0,500.0,35,True,"(50.2598987, 19.0215852)"
